check accuracy 0.1
[0. 0. 0. 1.]
[0.47184464 0.06374525 0.18270877 0.2817013 ]
[0. 0. 0. 1.]
[0.4576845  0.06677388 0.22421312 0.2513285 ]
[1. 0. 0. 0.]
[0.451921   0.06842114 0.2337235  0.2459343 ]
[0. 0. 1. 0.]
[0.10973775 0.05196334 0.79502887 0.04327005]
[0. 1. 0. 0.]
[0.34357807 0.07476496 0.43366277 0.14799422]
[0. 0. 1. 0.]
[0.41500673 0.07229412 0.31008744 0.20261177]
[0. 0. 1. 0.]
[0.14945544 0.0678137  0.7199127  0.06281816]
[1. 0. 0. 0.]
[0.3160565  0.07326458 0.48764297 0.12303589]
[0. 1. 0. 0.]
[0.43242663 0.07082158 0.2749165  0.22183523]
[0. 0. 1. 0.]
[0.4378536  0.07144617 0.26142657 0.2292737 ]
[0. 0. 1. 0.]
[0.46179837 0.06631315 0.20992209 0.2619664 ]
[0. 0. 1. 0.]
[0.3825594  0.0670675  0.36667585 0.18369722]
[0. 0. 1. 0.]
[0.4664263  0.06331257 0.19490914 0.27535194]
[1. 0. 0. 0.]
[0.34632474 0.07632496 0.43567023 0.14168014]
[1. 0. 0. 0.]
[0.22806682 0.07815436 0.61028975 0.08348902]
[1. 0. 0. 0.]
[0.42327386 0.07229118 0.297518   0.20691696]
[0. 0. 1. 0.]
[0.3925827  0.07128874 0.34612045 0.19000806]
[1. 0. 0. 0.]
check accuracy 0.1
[0.12558539 0.05879225 0.7648701  0.05075228]
[1. 0. 0. 0.]
[0.4506925  0.06932995 0.23955478 0.24042283]
[0. 0. 1. 0.]
[0.27691132 0.07812428 0.5420466  0.10291781]
[0. 0. 0. 1.]
[0.45904502 0.06707671 0.22391826 0.24996005]
[0. 0. 0. 1.]
[0.07871655 0.03105387 0.8570241  0.03320555]
[0. 1. 0. 0.]
[0.16839881 0.07504225 0.6887937  0.06776522]
[0. 1. 0. 0.]
[0.4342482  0.07058627 0.2705467  0.22461885]
[0. 0. 1. 0.]
[0.4682902  0.06559023 0.20359783 0.26252177]
[1. 0. 0. 0.]
[0.44451803 0.06896323 0.24580081 0.24071792]
[0. 0. 1. 0.]
[0.4491439  0.06592952 0.23084942 0.2540772 ]
[0. 0. 0. 1.]
[0.36750746 0.07017814 0.39794594 0.16436842]
[1. 0. 0. 0.]
[0.09066782 0.03738071 0.8362479  0.03570351]
[0. 1. 0. 0.]
[0.40697178 0.07198589 0.33479378 0.18624857]
[1. 0. 0. 0.]
[0.43632263 0.07071337 0.2679532  0.22501074]
[0. 0. 1. 0.]
[0.31212428 0.07728897 0.49438056 0.11620618]
[0. 0. 0. 1.]
[0.05542297 0.02141466 0.90592253 0.01723981]
[0. 1. 0. 0.]
[0.09074247 0.03657357 0.83147925 0.04120474]
[0. 1. 0. 0.]
[0.44504842 0.06874214 0.24431624 0.24189322]
[0. 0. 1. 0.]
[0.40626493 0.07436477 0.32635123 0.19301903]
[0. 1. 0. 0.]
[0.46730688 0.06544089 0.19907087 0.26818135]
[0. 0. 0. 1.]
check accuracy 0.25
[0.4327345  0.07034123 0.27326083 0.22366351]
[0. 0. 1. 0.]
[0.3605571  0.07135525 0.41071522 0.15737242]
[1. 0. 0. 0.]
[0.0876832  0.03917975 0.84286463 0.0302724 ]
[1. 0. 0. 0.]
[0.43689173 0.07141969 0.267385   0.22430363]
[1. 0. 0. 0.]
[0.35963005 0.07176602 0.40570527 0.16289872]
[0. 0. 1. 0.]
[0.06652854 0.02757247 0.88439995 0.021499  ]
[0. 1. 0. 0.]
[0.3836633  0.07221328 0.36659244 0.17753088]
[0. 0. 1. 0.]
[0.07534293 0.02947875 0.8662648  0.02891344]
[0. 1. 0. 0.]
[0.28730524 0.07722986 0.51949567 0.11596927]
[0. 1. 0. 0.]
[0.25992194 0.07540665 0.56005806 0.10461336]
[0. 1. 0. 0.]
[0.4526801  0.06825065 0.23972248 0.2393467 ]
[0. 0. 0. 1.]
[0.41993263 0.07130269 0.30045995 0.20830476]
[0. 0. 1. 0.]
[0.4578091  0.06853485 0.2292689  0.24438722]
[1. 0. 0. 0.]
[0.3797565  0.06885576 0.36357734 0.18781036]
[1. 0. 0. 0.]
[0.42613557 0.06885259 0.27679548 0.22821644]
[0. 0. 0. 1.]
[0.15830794 0.0685975  0.7114926  0.06160202]
[0. 0. 0. 1.]
[0.04624655 0.01827561 0.9226239  0.01285403]
[0. 1. 0. 0.]
[0.46893555 0.06453887 0.18982287 0.27670267]
[0. 0. 0. 1.]
[0.4344522  0.07055811 0.27191222 0.22307758]
[0. 0. 1. 0.]
[0.4326354  0.070296   0.28553563 0.21153297]
[1. 0. 0. 0.]
check accuracy 0.15
[0.38164684 0.0755434  0.36686602 0.1759437 ]
[0. 0. 0. 1.]
[0.44277608 0.06963931 0.2535534  0.23403125]
[0. 0. 1. 0.]
[0.46936166 0.06470254 0.19526218 0.2706736 ]
[0. 0. 0. 1.]
[0.38497102 0.06914607 0.3617994  0.18408345]
[0. 1. 0. 0.]
[0.24722189 0.07946503 0.5895477  0.08376537]
[1. 0. 0. 0.]
[0.4647689  0.06578395 0.20536163 0.26408556]
[0. 0. 0. 1.]
[0.43334225 0.06520253 0.26055536 0.24089988]
[0. 0. 0. 1.]
[0.43517286 0.07017265 0.268711   0.22594339]
[0. 0. 1. 0.]
[0.3587517  0.07070706 0.40267354 0.1678677 ]
[0. 0. 1. 0.]
[0.37112162 0.07192837 0.39556605 0.16138391]
[0. 0. 0. 1.]
[0.45456028 0.06887607 0.23254722 0.24401648]
[0. 0. 1. 0.]
[0.4510943  0.06842445 0.23546302 0.24501824]
[0. 0. 1. 0.]
[0.45258233 0.06590439 0.21754508 0.26396823]
[0. 0. 0. 1.]
[0.4580293  0.06684409 0.22345917 0.25166747]
[0. 0. 0. 1.]
[0.35664958 0.07439854 0.41596264 0.15298927]
[0. 0. 1. 0.]
[0.42129123 0.07585416 0.307598   0.19525659]
[1. 0. 0. 0.]
[0.08874138 0.03452754 0.8399895  0.03674154]
[0. 1. 0. 0.]
[0.44437033 0.07116962 0.26946697 0.21499301]
[0. 0. 0. 1.]
[0.3669474  0.07928728 0.39175254 0.16201282]
[1. 0. 0. 0.]
[0.47179013 0.06340897 0.18242596 0.28237492]
[0. 0. 0. 1.]
check accuracy 0.2
[0.40560636 0.07363249 0.32726347 0.1934977 ]
[0. 0. 0. 1.]
[0.43725333 0.07180698 0.26724395 0.22369576]
[1. 0. 0. 0.]
[0.39042532 0.06912932 0.34251934 0.19792607]
[1. 0. 0. 0.]
[0.45894653 0.06634609 0.21429119 0.26041615]
[0. 1. 0. 0.]
[0.4760067  0.06195591 0.1646634  0.29737398]
[0. 1. 0. 0.]
[0.34155035 0.07566469 0.43973196 0.14305307]
[0. 0. 0. 1.]
[0.28318876 0.07739896 0.528042   0.11137027]
[0. 0. 0. 1.]
[0.20305079 0.0715031  0.647305   0.07814115]
[0. 1. 0. 0.]
[0.44783714 0.06382073 0.22400944 0.26433262]
[0. 1. 0. 0.]
[0.40343672 0.07249596 0.3315693  0.19249797]
[0. 0. 1. 0.]
[0.24119875 0.07100925 0.5975659  0.09022614]
[0. 1. 0. 0.]
[0.43909207 0.06990522 0.26061535 0.23038739]
[0. 0. 1. 0.]
[0.29769647 0.07601765 0.5097284  0.11655761]
[1. 0. 0. 0.]
[0.39136404 0.07346223 0.3525242  0.18264951]
[1. 0. 0. 0.]
[0.42722312 0.07015828 0.2862126  0.21640608]
[1. 0. 0. 0.]
[0.46681607 0.06468381 0.19689587 0.2716043 ]
[0. 0. 0. 1.]
[0.35268968 0.06922767 0.41023085 0.16785179]
[1. 0. 0. 0.]
[0.3880471  0.07234895 0.35507795 0.18452592]
[0. 0. 1. 0.]
[0.446939   0.06800362 0.2384727  0.24658458]
[0. 0. 1. 0.]
[0.19603142 0.07083605 0.6575706  0.0755619 ]
[0. 1. 0. 0.]
check accuracy 0.25
[0.43878922 0.07144332 0.26770028 0.22206716]
[0. 0. 1. 0.]
[0.46719298 0.06541842 0.19530661 0.27208197]
[1. 0. 0. 0.]
[0.42456463 0.07165667 0.29228747 0.21149127]
[0. 0. 1. 0.]
[0.2761201  0.079493   0.54528916 0.09909775]
[1. 0. 0. 0.]
[0.4366657  0.06765529 0.25356513 0.24211387]
[1. 0. 0. 0.]
[0.46693292 0.06545069 0.200981   0.26663533]
[0. 0. 0. 1.]
[0.4421265  0.07018784 0.2575286  0.2301571 ]
[0. 0. 1. 0.]
[0.43598294 0.06977535 0.26567513 0.22856665]
[0. 0. 1. 0.]
[0.05350742 0.02066557 0.9096615  0.01616554]
[0. 1. 0. 0.]
[0.32580203 0.07486103 0.47121406 0.12812291]
[0. 0. 0. 1.]
[0.04635888 0.01742387 0.9229668  0.01325044]
[0. 1. 0. 0.]
[0.44257298 0.06903403 0.25154835 0.23684464]
[0. 0. 0. 1.]
[0.46617338 0.06516547 0.20257816 0.266083  ]
[1. 0. 0. 0.]
[0.2877276  0.07191841 0.5083372  0.13201676]
[0. 0. 1. 0.]
[0.32616478 0.06936903 0.45943767 0.14502844]
[0. 1. 0. 0.]
[0.46460986 0.06621195 0.18964343 0.2795347 ]
[0. 0. 0. 1.]
[0.36549196 0.07426672 0.39970332 0.16053808]
[0. 0. 1. 0.]
[0.44826773 0.07009964 0.24642953 0.23520307]
[0. 0. 0. 1.]
[0.44789186 0.06826435 0.23890047 0.24494326]
[0. 0. 1. 0.]
[0.44508067 0.06925209 0.26132527 0.22434199]
[0. 0. 0. 1.]
check accuracy 0.15
[0.22517085 0.07613539 0.6141445  0.08454923]
[1. 0. 0. 0.]
[0.4354665  0.07045794 0.275765   0.21831061]
[1. 0. 0. 0.]
[0.44118515 0.07292362 0.25903952 0.22685172]
[0. 0. 0. 1.]
[0.23906003 0.07757809 0.5980348  0.0853271 ]
[1. 0. 0. 0.]
[0.20012918 0.07385083 0.6516735  0.07434646]
[0. 1. 0. 0.]
[0.08635598 0.03636831 0.8477156  0.02956005]
[1. 0. 0. 0.]
[0.2654145  0.07829263 0.55878586 0.09750699]
[0. 0. 0. 1.]
[0.4212359  0.07143575 0.30238995 0.20493837]
[1. 0. 0. 0.]
[0.03060471 0.01010303 0.9508009  0.00849138]
[0. 1. 0. 0.]
[0.4248956  0.07096154 0.29147685 0.21266599]
[0. 0. 1. 0.]
[0.4578952  0.06739285 0.22235522 0.25235674]
[0. 0. 1. 0.]
[0.46164277 0.06633623 0.21620068 0.25582024]
[0. 0. 0. 1.]
[0.45867792 0.06557684 0.21445322 0.261292  ]
[0. 0. 0. 1.]
[0.25517836 0.07245336 0.5713818  0.10098648]
[1. 0. 0. 0.]
[0.47200027 0.06374729 0.18315014 0.2811023 ]
[0. 0. 0. 1.]
[0.32115915 0.07373316 0.47598454 0.12912317]
[0. 0. 1. 0.]
[0.4543826  0.06778827 0.2291999  0.24862926]
[0. 1. 0. 0.]
[0.39872327 0.07359642 0.34806904 0.17961131]
[0. 0. 1. 0.]
[0.13066107 0.05945567 0.755526   0.05435724]
[0. 1. 0. 0.]
[0.42711928 0.07097095 0.28617164 0.21573813]
[0. 0. 1. 0.]
check accuracy 0
[0.38425583 0.07836428 0.37147042 0.16590951]
[0. 0. 1. 0.]
[0.44692096 0.06905894 0.24750964 0.23651047]
[0. 1. 0. 0.]
[0.12584199 0.06085913 0.76138425 0.0519146 ]
[0. 1. 0. 0.]
[0.41197515 0.070238   0.31231534 0.20547153]
[0. 0. 1. 0.]
[0.47307536 0.06337928 0.1775702  0.28597516]
[0. 0. 0. 1.]
[0.4417435  0.06963156 0.25609013 0.23253487]
[0. 0. 1. 0.]
[0.36067334 0.07253146 0.41114753 0.1556477 ]
[1. 0. 0. 0.]
[0.08627882 0.03657771 0.8458281  0.03131539]
[0. 1. 0. 0.]
[0.36251846 0.07733752 0.40604335 0.15410067]
[1. 0. 0. 0.]
[0.05619559 0.02087017 0.9054383  0.01749588]
[0. 1. 0. 0.]
[0.45021436 0.06726173 0.23278831 0.24973561]
[0. 0. 0. 1.]
[0.4355701  0.07068634 0.27002132 0.22372226]
[0. 0. 1. 0.]
[0.45003715 0.06740636 0.23481135 0.2477451 ]
[0. 0. 0. 1.]
[0.14090398 0.06227614 0.7356993  0.06112063]
[0. 1. 0. 0.]
[0.10762417 0.04687247 0.80580693 0.03969643]
[0. 1. 0. 0.]
[0.2656903  0.07356468 0.5578737  0.1028713 ]
[1. 0. 0. 0.]
[0.43536237 0.06506801 0.26589164 0.23367806]
[0. 1. 0. 0.]
[0.08062218 0.03147049 0.85873693 0.02917036]
[0. 1. 0. 0.]
[0.45019883 0.06881415 0.24305427 0.23793274]
[0. 0. 0. 1.]
[0.2687434  0.0769643  0.5578393  0.09645299]
[0. 1. 0. 0.]
check accuracy 0.1
[0.07637243 0.02826686 0.8693766  0.02598405]
[0. 1. 0. 0.]
[0.29953104 0.076993   0.50368416 0.11979183]
[0. 0. 0. 1.]
[0.45184216 0.0668719  0.2332859  0.24800003]
[0. 0. 0. 1.]
[0.1426435  0.06046107 0.73528504 0.06161048]
[0. 1. 0. 0.]
[0.4515148  0.07034505 0.24517313 0.23296699]
[0. 0. 0. 1.]
[0.41767582 0.06994747 0.30453557 0.20784114]
[1. 0. 0. 0.]
[0.4476309  0.06894818 0.24285933 0.24056157]
[0. 0. 1. 0.]
[0.41854736 0.0720145  0.30230725 0.20713094]
[0. 0. 1. 0.]
[0.33885813 0.08123773 0.44381022 0.13609394]
[0. 0. 0. 1.]
[0.44561672 0.07070877 0.25815183 0.22552283]
[1. 0. 0. 0.]
[0.4503862  0.0686589  0.239284   0.24167089]
[0. 0. 1. 0.]
[0.04348286 0.01658627 0.9276229  0.01230794]
[0. 1. 0. 0.]
[0.42951468 0.07245906 0.2939971  0.20402914]
[0. 0. 0. 1.]
[0.16596492 0.07096186 0.69458103 0.0684922 ]
[0. 1. 0. 0.]
[0.2904515  0.07454508 0.5182746  0.11672891]
[0. 1. 0. 0.]
[0.38465506 0.07264081 0.36852497 0.17417926]
[0. 0. 0. 1.]
[0.46260852 0.06637373 0.20916213 0.26185554]
[0. 0. 1. 0.]
[0.45027366 0.06859117 0.24460232 0.23653285]
[0. 0. 1. 0.]
[0.46537805 0.06569384 0.201874   0.26705408]
[0. 0. 0. 1.]
[0.45689785 0.06621362 0.22417386 0.25271472]
[0. 0. 0. 1.]
check accuracy 0.15
[0.4058142  0.07155427 0.31668618 0.2059454 ]
[0. 0. 1. 0.]
